,title,plot,genre
0444484,Taste Her Ass,Kylie Ireland presents nine gorgeous ladies all giving 100% anal effort.::SkiSchool2,adult-film
1568220,Powergirls,"In episode 1, The Choker has escaped from jail and is running amok. Only Nightwatch can catch her. In episode 2, heroes Rush and Bedbug team up to take down a horde of crappy robots. Episode 3 brings us Syren, a mild mannered secretary until help is needed! In Episode 4 we see the local asylum under attack from within, villain Cinders is running amok, burning the place down and only Lynx can take her down! Episode 5 ends the series with Talon, a vigilante chosen by the sexy alien Huntress as a mating partner.::Dick Bush (II)",adult-film
1789706,Big Wet Asses 18,It is best site for best movies,adult-film
5946088,Vixen,"A series of Adult videos on Vixen.com, an adult site.",adult-film
2265515,Recipe for Romance,"Carolina who is a passionate chef who is waiting for the right man. She owns her own catering company and pours her heart and soul into her business. Carolina reveals a special culinary talent that magically affects her clients. Between her successful business and an active fantasy life, and an array of excuses, Carolina becomes consumed with work and disregards the real affections of her catering assistant, Aaron.::Moh X",adult-film
1977776,Don Juan's Therapist,"The romantic Rocco can't find true love and seeks help from therapist Victoria, who is still bitter about her old flame.::Anonymous",adult-film
1728104,Asa Akira Is Insatiable,Asa Akira exhibits her insatiable sexuality.,adult-film
2279344,Tomb Raider XXX: An Exquisite Films Parody,"An adult pornographic parody based on the classic video game character, Lara Croft.",adult-film
0412363,American Ass,Hi this channel is good Everyone film here I like English movies Pictures quality is good Everything is fine::bdrpankajgupta,adult-film
8160716,Poon Raider,Hunting the best around the world.,adult-film
0410163,Kink,A serial killer is murdering the models of a well-known fashion photographer. A male and female pair of detectives are assigned to catch him before he kills again.::frankfob2@yahoo.com,adult-film
2504582,Lexi,Lexi Belle finally gives in to the anal sex scene everyone has been waiting for.,adult-film
8455196,Unbridled,"Avery Montgomery (Stormy Daniels) makes the tough decision to return to Texas to save her estranged family's ranch, Thunder Creek. To do so, she must face her demons...and her old flame and former trainer Grant Meyer (Marcus London). Things are made more difficult by a fellow rancher who is willing to do anything to get his greedy hands on Thunder Creek, and by Avery's sister Joey (Lyra Law) who has a secret that could ruin everything.",adult-film
4026852,Aftermath,Danny (Tyler Nixon) a young man who turns 18 and deals with his father's love and spirit. A series of letters from his father to a mysterious woman leads him to adventures that will change his life forever. He meets his father's lover and discovers things he never knew about his father and finds himself on this path.::akram gus,adult-film
7675254,Agent 69,"An erotic thriller featuring sexy secret agents as they attempt to recover a stolen data file. The city of Los Angles, shown here as a high-end vibrant metropolis, is the backdrop as we follow our agents on their adventure. Lead agent Eva Sterling is played by Eva Lovia. She is a tough-as-nails CIA operative and makes the decisions leading the operation. Mick Blue plays Agent Kessler. He is her partner and also lover.",adult-film
2331139,Topless Rope Restraint,"Seven bare-breasted women squirm furiously to free themselves from the ropes, tape and cloth that binds and gags them.::Anonymous",adult-film
4067334,Chance Encounters,"Several couples encounter love, affairs, sex and romance at a hotel.",adult-film
0494318,Camp Cuddly Pines Powertool Massacre,"Five college students, Kirsten, Meghan, Rayford, Todd, and Josh, on their way to a rock concert, get detoured to a remote closed down summer camp where they get stalked and killed off one by one by a masked killer, while in between the bloodletting, they find plentiful time to ""get it on"" with one another.::Anonymous",adult-film
6466932,Big Naturals,"Once upon a time, in a far away swamp, there lived an ogre named Shrek whose precious solitude is suddenly shattered by an invasion of annoying fairy tale characters. They were all banished from their kingdom by the evil Lord Farquaad. Determined to save their home Shrek cuts a deal with Farquaad and sets out to rescue Princess Fiona to be Farquaad's bride. Rescuing the Princess may be small compared to her deep, dark secret.",adult-film
1748142,Official Friday the 13th Parody,"When Susie arrives at Crystal Lake Nudist Camp to be the resident masseuse, she meets the randy young camp owner Kyle, who can't wait to get an orgy going with his nymphomaniac staff and guests. But when people start inexplicably disappearing, Susie and Kyle are forced to fight for their survival, coming face to face with the flesh-eating semen of the legendary Jason himself!::ChipDouglas",adult-film
0492659,Just Another Whore #2,34698028hjsbsiwnosbdjrbbxjejdbd,adult-film
2116964,The Prize,"Under a military dictatorship, a mother and daughter flee Buenos Aires for the seclusion of an Argentine beachside cottage. When young Cecilia joins a nearby school, she is incorporated into the political turmoil through a patriotic essay contest sponsored by the army. Official selection of the prestigious Global Lens Collection presented by the Global Film Initiative. (Spanish w. English subs.)",adult-film
7498362,Stealth Fuckers 2,"Johnny Rapid needs help to study but he needs even more help with his raging hard-on. Luckily for him, his study buddy Brendan Phillips likes taking cock deep in his throat and hole. Watch as Johnny gets caught by his mom while bouncing on Brendan's excited cock.::allan-medeiros26",adult-film
0387212,Faust,"After Judas sells his soul to the devil in 33 AD, the film follows the lurid trysts and travails of his life through 2019.",adult-film
2083932,Bad Girls 6,"In this 6th installment of Digital Playgrounds Bad Girls series, Stoya stars in her first interracial scene.::Anonymous",adult-film
8591668,Tug Jobs,"These girls love to get their hands dirty, have it be jerking, stroking, pulling or tugging these girls do it right - Tug Job anyone?",adult-film
10544010,Lesbian Legal Part 10,"Elsa Jean and Harley Jade are sister's living together; recently their mom has passed and has left the two with a lot of inheritance. So real estate attorney's Reagan Foxx and Mercedes Carrera come up with a solution to fix the siblings arguments and the girls put the house up for sale. Darcie Dolce is looking at a piece of property and wants to surprise her life coach that she has been dating, Jenna Sativa. Darcie gets bad news that her new album really hasn't been a hit since it was about Jenna. She called Mercedes to cancel the sale of the house. Mercedes calls up Reagan and they tell the girls that are fighting that they have a solution.::Peter-Patrick76 (peter-patrick@mail.com)",adult-film
1589970,An Eternal Love,"Emily feels as if she is being haunted by her late husband's ghost after he passed away two years ago. However, when her friend Sasha invites Tommy over and she finds that her two friends are in a relationship can her romance be sparked?",adult-film
1057508,The One,"""Collaging Film"" is a series of shorts dating back to 2007. Published NY artist and writer, Stephen Mead, started out fairly bare-bones when beginning to make films, an experimentation which he considered a sort of folk art. Eventually Stephen transitioned from the use of subtitles in his work to creating his own mp3s for soundtracks and effects, finally interweaving actual footage amid paintings and digitized images in hopes of creating a more engaging experience for the viewer. As a Folk Artist, mainly using Windows Movie Maker, a program on most computers, Stephen enjoys the fact that most anyone can use this program to make films of their own. He also likes knowing that these films are ""low-tech Independents"", not subject to Studio Backing (!) and meant to be viewed on the small screens of televisions or computer monitors. Stephen feels this creates for a more intimate viewing experience that is perfect for the variety of themes found in his work. These themes range from AIDS, love, human rights, the environment, world hunger, global warming, to personal narratives of poetic license from figures such as Marilyn Monroe, Billie Holiday, Camille Claudel and Adele Hugo. ""Collaging Film"" collages life in all its facets. PLEASE NOTE: There is one minute of silence and a black screen following the short, ""Marilyn's Escape Act"". This minute of silence is to honor Marilyn Monroe. There is no need to adust your player, another short collage-film, ""Marianne"", will follow directly afterwards.",adult-film
2829418,Oil Overload 7,Don't have a good plot to geve,adult-film
7773358,Star Wars: The Last Temptation,"In order to complete her Jedi training, Rey must master her lust - and not just for power.::DP XXX Parody",adult-film
0413493,Woman Under Glass,"Savanna Samson is a working girl at a peep show. Male customers pay to watch her, and the other sexy strippers, perform behind glass.::anonymous",adult-film
3292902,Anikka,"Anikka Albrite is one of the most beautiful, and voluptuous big bottomed superstars ever. For the very first time watch her perform in her first anal scene, bursting with powerful hardcore action in an unforgettable celebration of Anikka's epic posterior.",adult-film
1776115,The Chatroom,A nursing intern moonlighting as a cam model witnesses a possible murder.::Anonymous,adult-film
3974796,A Mother Daughter Thing,A mother daughter thing 2014::manojramanathan,adult-film
1570741,Whore It Up,Three men arrive at the house that is rule by Rio Valentine for an endless night of sex and debauchery.::Anonymous,adult-film
3484444,Costume Girls Fight for Freedom,"Policewomen, Undercover detectives, harem girls, princesses, blonde amazons and airline stewardesses all find themselves bound and gagged captives.::Anonymous",adult-film
1342283,Possessed by Sex,A look at women who seem to become demonized while having sex.::Anonymous,adult-film
4280100,My Friend's Hot Mom 28,"They turned him over to the secular arm for execution, had been raging between the Bohemians and Germans, was destined to cause Eugenius IV",adult-film
0874962,O - The Power of Submission,O enters the underground world of submission and domination and discover the pleasure and satisfaction from surrendering completely to the desires of others.,adult-film
1386671,Nurses,A group of nurses in Coos County General Hospital give their patients intensive and personal care.::Anonymous,adult-film
9525956,Filthy Family,Adult TV series focusing on 'step-incest.',adult-film
6215002,Real Wife Stories,"Cheating wives. Husbands, open your eyes!!!!.",adult-film
7285564,Naughty Natasha,"Elegant Angel proudly presents Naughty Natasha over 2 hours of big tit beauty Natasha Nice!. Featuring Natasha's 1st gang bang (she gets DP'd too!) and her 1st interracial double penetration. The ultimate showcase for one of porn's hottest girls. 4 incredible scenes with beautiful locations and amazing camerawork for your viewing pleasure. Watch those pretty green eyes and her big beautiful tits take cock after cock in her 1st ever gang bang. Watch both of her holes get stretched out by 2 giant black cocks. Aj Applegate joins Natasha and Manuel Ferrera in a smoking hot threesome. Last but not least superstar Alexis Texas gets in on some smoking hot girl girl action. Starring Natasha Nice, Alexis Texas and AJ Applegate . Enjoy!.",adult-film
2504910,Wasteland,"Two young women are best friends, but they go their separate ways. 5 years later they reunite when Anna visits Jacky. After Anna arrives the friendship is renewed and the young women soon take things to the next level.::Jim Heald",adult-film
7988558,Black & White 9,These sexy woman want a huge BBC (including favorite Eliza Jane).,adult-film
5333588,Hot Bodies Vol. 1,"Women know workout and sex are a right pair. Mason adds the woman's touch to the first volume of Hot Bodies, a tribute to '80s sexy fitness with a mix of sexy tease and hot sex with gorgeous women.",adult-film
6288244,From the First Moment,Kira (Alix Lynx) was left at the alter by her fiance. Her best friend helps her escape from the embarrassment. She falls in love again.,adult-film
3865230,Tasty Tootsies,"Sexy naked women - some bound, some not - suck on the bare feet of their beautiful companions.::Anonymous",adult-film
2378417,Perfectly Wrapped Girls,Five pretty girls and encased in transparent wrap and silenced with sticky tape.::Anonymous,adult-film
1706364,Fairy Tale,A young couple moving into their new house is subjected to the antics of a mischievous fairy spirit that inhabits the home.::frankfob2@yahoo.com,adult-film
1644708,The Smiths,"This DVD contains many insights of The Smith's two songwriting talents, namely Morrissey and Marr. Seen here for the first time is a less than usual guarded, open but cautious Steven Morrissey revealing much unseen, unedited and rare footage along with a very positive and sparky Johnny Marr interview from their heyday. The precise origin of the bands name is unknown, although they stated that it was a reaction against names they considered fancy and pompous. Somewhat contrarily, in a 1984 interview Morrissey stated ""I decided to call ourselves The Smiths because it was the most ordinary name, and I think it's time that the ordinary folk of the world showed their faces.""",adult-film
6574710,Extreme Naturals,Stepmother blackmailed son,adult-film
5821152,Sex Machina: A XXX Parody,"When a young hacker wins the trip of a lifetime to a secret facility owned by one of the world's tech geniuses, he learns important lessons about his own humanity.::Anonymous",adult-film
2278945,Evalutionary 2,"Evalutionary 2 features Eva Angelina's very first DV and DAP scenes, as well as an all star line up including Gracie Glam, Lily Carter, and Skin Diamond.",adult-film
1890343,A Beauty and a Geek,"The sweet and geeky Dane tries to win back Dani, the love of his life, from the suave doctor Manuel.::Anonymous",adult-film
11181138,Gay of Thrones 6,"Johnny Rapid plays a very horny king who summons two of his sluttiest subjects, cock-crazed muscle-bottom Peter Baranyai and insatiable power-bottom Gabriel Cross, who both devour his thick scepter with their mouths and wide-open anuses.",adult-film
2330741,Blissful Bare Feet,"Eight beautiful babes - some clothed, some topless - flaunt there beautiful bare feet, shapely soles, and toothsome tootsies.::Anonymous",adult-film
1776814,BATFXXX: Dark Night Parody,"The Jo-Kerr is making his way up in the Gothard City crime league thanks to a little help from Katwoman and Poison Ivey by unleashing a tempting form of laugh gas. Only the Bat, Robina and Batchick stand in his way.::Il Tesoro",adult-film
8224620,Becoming Elsa: A Coming of Age Story,"Sweetheart presents a coming-of-age story of innocence lost and lust awakened, when young and inexperienced Elsa Jean arrives In Los Angeles, seeking a place she can be her true self as she starts college. Welcomed by her new landlord, gorgeous older woman India Summer, and two very devious roommates (Abella Danger and Jade Kush). Elsa is soon on a wild path of self-discovery with a sexy and elusive sidekick (Charlotte Stokely) that pulls her into new experiences and awakens her secret desire for women. Experience her powerful first while Becoming Elsa.::Ricky Greenwood",adult-film
4768352,Kill Bill: A XXX Parody,"Venus, a former assassin, awakens from a year-long coma from the loud moans of Belladonna, another assassin, screwing the security guard. Her boss and ex-lover Bill aka the Florist attempted to kill her using his team of elite assassins aka Flowers Belladonna, Tiger Lily and Black Orchid. With an immense yearning for revenge, she's not going to rest until she kills every single flower and most importantly, kills Bill. This parody includes 6 hardcore sex scenes and an all-star cast including Dani Daniels, DP contract star Eva Lovia, Misty Stone, Bridgette B. and Ash Hollywood!::Official Site",adult-film
4435076,Mother-Daughter Exchange Club 33,"Two mothers, worried about their daughters' lack of interest in sex, hook up with each other's kid. In the second story, two friends, a mom and a young grandma, hook up, while their daughter and granddaughter hook up themselves.",adult-film
2378415,Perfectly Ticklish Girls,"Six beautiful women, topless and helpless, struggle to free themselves from the ropes that immobilize them as the relentless fingers of their captors roam about their ticklish bodies.::Anonymous",adult-film
7771836,Blacked,"A series of Adult videos on Blacked.com, an adult site.",adult-film
10863748,Mother-Daughter Exchange Club 56,Moms and their daughters mix with other romance-minded mom-daughter pairs when they join Mother-Daughter Exchange Club.::Anonymous,adult-film
1692087,Hocus Pocus XXX,There are 3 sisters who also happen to be witches. They draw their magical powers from sexual energy. The townsfolk got tired of the sisters corrupting their villagers so they hung them but not before the sisters had time to cast a magical spell that allowed them to return on Halloween and possibly forever if they could find a Virgin to draw enough sexual energy from to gain enough power to make their return permanent.::Anonymous,adult-film
0474236,Lovers Lane,"Sarah is a small town California deputy sheriff working on a brutal murder case of a young couple who were murdered after having sex in their car on the so-called ""Lovers Lane"" drive in the nearby woods. Sarah believes the killings are linked to the murder of her sister a year earlier. But Sarah's pompous police captain believes she's taking the case too seriously and hands the investigation over to a visiting FBI Agent. But Sarah finds it hard to stay away and secretly gets close to the agent on the case as more murders begin to happen.",adult-film
8119368,Pornstars Like It Big,"A real big dick, that's what everyone wants. Porn-stars are no exception, all the biggest stars agree; BIG COCK is for them. Check out how it stretches their tiny pussies and cums on their round tits. We've got the best chicks hocking the biggest dicks.::Official Site",adult-film
2086927,The Fate of Love,"After a successful heart transplant saves her life, Caroline is reluctant to date, fearing her former health problems will scare away potential suitors. Her sister is determined to get her back into social circles and while on a weekend camping trip, Caroline has a chance encounter with John. Although the two share an instant connection, initially neither one is ready to be more than friends. Eventually, just as they're ready to move to the next level, a devastating secret from John's past comes to light and threatens the budding romance. Will these two lovers find a way to overcome all they have endured and find a new beginning together, or can a painful past truly tempt the fate of love?::lament",adult-film
3577950,The Sexual Liberation of Anna Lee,"After growing up in a conservative home, a sexually repressed, Anna Lee (Maddy O'Reilly) seeks help in the most unlikely of places - an unconventional therapy practice called the Variel House. Known for taking a very hands-on approach to treatment, the Variel House pushes patients to their sexual limits through a variety of exercises geared at helping them confront their fears. It is during these exercises that Anna Lee is paired up with Emmett (Xander Corvus), a patient battling his own demons, and the two forge an unlikely friendship. Together they share their most intimate secrets and hidden desires while navigating an intensely provocative road towards sexual freedom. But when their erotic journey proves too challenging for Emmett to handle, Anna is left wondering whether true liberation can only be found on one's own.",adult-film
3127076,Wanderlust,"19 year old Riley who has bad some bad decisions, packs her bag and goes to Hollywood only to find out it wasn't what she thought.",adult-film
5841726,Friends & Lovers Vol. 1,The first volume in the 'Friends and Lovers' series from Erotica X.,adult-film
1598174,This Ain't Star Trek XXX 2: The Butterfly Effect,"Kirk, Spock & Bones beam down to Butterfly 8 where they are ambushed by female aliens. When Scotty beams Sulu and Chekov down to rescue them, a transporter malfunction sends them to the Oval office the day before Kennedy was shot.::Il Tesoro",adult-film
2494196,Mothers & Daughters,I'm use it my personal email address,adult-film
1111387,Operation: Desert Stormy,A secretary and her inept secret agent husband set out to stop Hussein in his quest for total world domination.::Anonymous,adult-film
1147588,Last Night,"Rick (Marcus London) embarks on his bachelor party night with an enthusiastic attitude, determined to enjoy his last night of freedom with his buddies (Brad Armstrong, Barrett Blade, Jay Ashley). But somewhere along the way things get out of hand. After picking up a stranded and sultry motorist named Sondra (Stormy Daniels), a wild night ensues. Strip clubs, sex parties, hookers, the time of his life. Until the next morning when Rick finds himself in the middle of a terrifying situation when someone ends of dead. Suddenly, someone is blackmailing him, but the ransom is more than he can pay. Now he must decide whether telling the truth to his fiancée about what happened last night, is worth the price...::Anonymous",adult-film
2700232,The Babysitter Volume 7,"Manuel is a widower who places an ad for a babysitter to take care of his infant son and hires Maddy, a twenty-something wanting to go to college and in need of cash.::Anonymous",adult-film
0401496,Hustler Platinum 4: Arsenic 1,"A beautiful young woman comes home to find her husband is dead. Determined to find out what happened, she hires a private detective to assist her in tracking down her husband's killer.::frankfob2@yahoo.com",adult-film
6840266,Lana,"Lana is a young law student struggling to manage her time and finances. When she notices her roommate Kate thriving in a situation not too different from her own, she asks for some advice and is introduced to the world of transactional relationships. Over the course of a year, Lana has a series of unforgettable sexual experiences and learns the art of anal sex with a myriad of interesting clients. Her story culminates in an incredible double penetration that changes her life forever.",adult-film
6975718,Eva,"Eva Lovia's Tushy.com showcase featuring her first anal, first interracial anal and her first DP.",adult-film
1742195,Tori Black Is Pretty Filthy 2,"Tori Black receives her first ever double penetration, and as of 2018, it's her only one with two male performers.",adult-film
3112180,Sex Door Neighbors,"After several years away, a young woman returns home with a fiancé and faces a choice between new love or old love.::Adam Hall",adult-film
2489022,Fill 'Er Up,"BiBi wants a baby but boyfriend Tommy is shooting blanks. Not willing to take a chance on an anonymous sperm donor, they decide to look at friends and acquaintances. Manuel, Tommy's best friend since childhood, and Marcus, Bibi's ex-boyfriend, are enlisted to provide samples for artificial insemination, but both attempts go awry. Finally Tommy suggests they get friend Billy to do it ""the old-fashioned way"". BiBi is a bit skeptical, and Billy's girlfriend will have to be convinced.::MayorDefacto <MayorDefacto@gmail.com>",adult-film
2226381,Grab and Bind: Dani Daniels: Dani's Dungeon Peril,"An investigative reporter goes undercover in order to write an expose about a dominatrix but, when her cover is blown, finds herself a naked, bound and gagged prisoner in the mistress' dungeon.::Anonymous",adult-film
1698563,Seinfeld: A XXX Parody 2,"Gerry, Gorge, Elaina and Krammer make a bet to see which one of them can go the longest without having sex.::Il Tesoro",adult-film
4548272,Lexi Belle Official Site,A series of adult videos available on Lexi Belle's official site.,adult-film
2081354,Roseanne: The XXX Parody,"A XXX parody based on the popular 80's series, 'Rosanne'.",adult-film
1693997,Whatever It Takes,"When Zo and her husband are about to lose their house, Zo tries do to whatever it takes to stop it from happening and starts working as an escort.::Anonymous",adult-film
0473928,Fuck Dolls 5,"This film is good, Karina Kay is beautiful::dante",adult-film
1096857,Black Widow,"Peyton is a 20-year-old gold digger and drifter who meets Charles, an older man of wealth and status. After seducing him into marrying her, she deviously begins putting her plan into action. As the picture perfect wife, she gives him everything a man could ask for: allowing him to have sex with other women and performing for him with other men. But as their three-year anniversary nears, it's time for her dreams to come true, to become a Black Widow. Peyton begins to slowly poison Charles, but he has a plan of his own.::Anonymous",adult-film
7992270,HD Love,Awesome girls have classy hardcore sex (in high definition) with another girl or with a guy.,adult-film
4338926,Gags and Bonds for Brunettes and Blondes,"Six lovely ladies are grabbed and bound by kinky Russians, devious photographers and home invaders.::Anonymous",adult-film
0494384,Sunny,I have interest in this site,adult-film
